FIRM,Class,Start,End,TOD,FIRMF,Length,Night,Gap,WS,Idx,Base,StartAdj,LenAdj,Comp,Trans,Press,P1S,P1L,P2S,P2L,MalAdj,NFZ,WNFZ,AFZ,WAFZ,MFZ,WMFZ,NBad,TIW,RIW,HIW,SIW,CCW
2,0,1135,1670,-1,2,535,1,999,1,1,3.00,0.00,0.00,0.00,-1.00,0.00,2,300,2,635,1,0,1,0,0,0,0,0,1390,1,0,4,0.50
5,1,1060,1730,1470,2,670,0,999,1,1,6.00,0.00,0.00,0.00,0.00,0.00,4,500,4,695,1,0,1,0,0,0,0,0,1195,0,0,1,0.00
-4,0,1370,1800,-1,-4,430,1,720,0,4,3.00,0.00,0.00,0.00,-4.00,-2.67,-5,840,2,675,0,0,1,0,0,0,0,0,3030,1,2,4,0.00
-2,0,1085,1680,-1,-2,595,1,810,0,4,3.00,0.00,0.00,0.00,-2.00,-3.00,-1,555,-2,810,1,0,1,0,0,0,0,0,3615,0,1,4,0.50
-2,1,1295,2080,1470,-5,785,0,999,0,4,6.00,0.00,0.00,0.00,-5.00,-2.67,-3,645,-2,235,1,0,1,0,0,0,0,0,2719,3,3,4,1.50
0,0,900,1620,-1,0,720,1,720,0,4,3.00,0.00,0.00,0.00,0.00,-3.00,-1,720,-1,810,0,0,1,0,1,0,0,0,2340,0,0,1,0.00
-1,0,900,1560,-1,-1,660,0,690,0,6,6.00,0.00,0.00,0.00,-1.00,-5.50,-4,750,-2,810,1,0,0,0,1,0,0,0,3835,1,2,1,0.00
1,2,900,1530,1470,1,630,0,720,0,3,6.00,0.00,0.00,0.00,-3.00,-1.67,0,720,4,690,1,0,0,0,1,0,0,0,3660,2,3,1,0.00
5,0,1241,1415,-1,5,174,0,999,1,1,6.00,0.00,0.00,0.00,0.00,0.00,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2,0,340,885,-1,2,545,0,900,0,2,6.00,-2.25,0.00,0.00,-1.33,-0.67,-1,805,5,174,1,0,0,0,1,0,1,0,805,1,0,1,0.00
4,1,1080,1980,1470,-2,900,0,805,0,2,6.00,0.00,0.00,0.00,-1.00,-0.67,2,550,-10,540,1,0,1,0,0,0,0,0,2725,3,3,3,0.50
-1,0,1420,2065,-1,-1,645,1,980,0,4,3.00,0.00,0.00,0.00,-1.00,-3.00,0,600,0,785,0,0,1,0,0,0,0,0,2932,1,0,3,0.00
-10,0,1180,1340,-1,-10,160,0,999,0,12,6.00,0.00,0.00,0.00,-4.00,-13.67,-10,535,-10,915,1,0,0,0,0,0,0,2,3524,1,6,5,0.00
2,1,1080,1990,1470,-8,910,0,485,0,2,6.00,0.00,0.00,-3.00,0.00,-0.67,0,420,-10,180,1,0,1,0,0,0,0,0,3270,0,6,5,0.00
2,0,1330,1810,-1,2,480,1,720,0,2,3.00,0.00,0.00,0.00,0.00,-1.00,2,720,2,720,0,0,1,0,0,0,0,0,2160,0,0,1,0.00
5,2,1240,1720,1530,1,480,0,999,1,1,6.00,0.00,0.00,0.00,0.00,0.00,5,330,4,285,1,0,1,0,0,0,0,0,1210,1,0,1,0.00
5,0,1020,1480,-1,5,460,0,999,1,1,6.00,0.00,0.00,0.00,0.00,0.00,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2,0,1200,1690,-1,2,490,1,770,0,2,3.00,0.00,0.00,0.00,0.00,-1.00,2,440,2,325,1,0,1,0,0,0,0,0,2485,0,1,3,2.50
3,0,430,1150,-1,3,720,0,999,0,3,6.00,-0.75,0.00,0.00,-1.00,-1.33,4,335,5,350,1,0,0,0,1,0,0,0,1565,0,0,2,0.00
5,2,1240,1720,1530,1,480,0,999,1,1,6.00,0.00,0.00,0.00,0.00,0.00,1,330,2,270,1,0,1,0,0,0,0,0,1655,2,0,1,0.00
4,0,405,925,-1,4,520,0,990,0,2,6.00,-1.25,0.00,0.00,0.00,-0.67,4,480,4,480,0,0,0,0,1,0,1,0,1565,0,0,2,0.00
4,0,464,1015,-1,4,551,0,960,0,4,6.00,-0.25,0.00,0.00,0.00,-2.00,4,480,4,480,1,0,0,0,1,0,0,0,2400,0,0,1,0.00
0,2,1110,2025,1530,-8,915,0,999,0,6,6.00,0.00,0.00,0.00,-2.00,-4.17,-2,660,4,585,1,0,1,0,0,0,0,0,3200,1,1,3,0.00
-1,0,860,1365,-1,-1,505,0,505,0,4,6.00,0.00,0.00,-2.75,-2.00,-2.33,0,430,5,466,0,0,0,0,1,0,0,0,1241,2,0,3,1.00
-7,0,1005,1815,-1,-7,810,1,675,0,6,3.00,0.00,-1.50,-0.75,-3.00,-4.83,-3,330,2,240,1,0,1,0,0,0,0,0,1665,2,1,5,0.50
2,2,1110,2025,1530,-5,915,0,825,0,3,6.00,0.00,0.00,0.00,-2.00,-1.67,-1,810,5,465,1,0,1,0,0,0,0,0,1804,2,2,3,0.00
